wave/AA   f_lambda/F_Ha
      31.6638      0.00000
      31.8296      0.00000
      31.9860      0.00000
      32.1439      0.00000
      32.3033      0.00000
      32.4644      0.00000
      32.6271      0.00000
      32.7914      0.00000
      32.9573      0.00000
      33.1250      0.00000
      33.2944      0.00000
      33.4532      0.00000
      33.6260      0.00000
      33.8005      0.00000
      33.9642      0.00000
      34.1295      0.00000
      34.3094      0.00000
      34.4781      0.00000
      34.6484      0.00000
      34.8205      0.00000
      34.9942      0.00000
      35.1698      0.00000
      35.3470      0.00000
      35.5261      0.00000
      35.7070      0.00000
      35.8898      0.00000
      36.0601      0.00000
      36.2465      0.00000
      36.4203      0.00000
      36.6104      0.00000
      36.7877      0.00000
      36.9817      0.00000
      37.1627      0.00000
      37.3453      0.00000
      37.5298      0.00000
      37.7318      0.00000
      37.9201      0.00000
      38.1104      0.00000
      38.2864      0.00000
      38.4804      0.00000
      38.6763      0.00000
      38.8742      0.00000
      39.0742  4.20390e-45
      39.2593      0.00000
      39.4632      0.00000
      39.6520      0.00000
      39.8601  2.80260e-45
      40.0527      0.00000
      40.2650      0.00000
      40.4616      0.00000
      40.6601      0.00000
      40.8606      0.00000
      41.0631      0.00000
      41.2675      0.00000
      41.4741      0.00000
      41.6827      0.00000
      41.8934      0.00000
      42.1062      0.00000
      42.3213      0.00000
      42.5385      0.00000
      42.7379      0.00000
      42.9595      0.00000
      43.1833      0.00000
      43.3889      0.00000
      43.6172      0.00000
      43.8269      0.00000
      44.0386  2.06750e-39
      44.2739  4.20390e-45
      44.4900      0.00000
      44.7082  4.28974e-40
      44.9285  7.00649e-45
      45.1734  3.09267e-42
      45.3984  9.80909e-45
      45.6256      0.00000
      45.8551  5.59777e-41
      46.0637  1.19531e-42
      46.2976      0.00000
      46.5339  1.16588e-42
      46.7727      0.00000
      47.0139  1.96182e-43
      47.2332      0.00000
      47.4792  2.80260e-44
      47.7277      0.00000
      47.9537  2.80260e-44
      48.2073      0.00000
      48.4378      0.00000
      48.6706      0.00000
      48.9318      0.00000
      49.1694      0.00000
      49.4092      0.00000
      49.6514      0.00000
      49.9233      0.00000
      50.1706      0.00000
      50.4204      0.00000
      50.6726      0.00000
      50.9274      0.00000
      51.1847  2.80260e-45
      51.4447      0.00000
      51.6780  1.20645e-40
      51.9430      0.00000
      52.2108  3.87947e-40
      52.4813  1.62209e-37
      52.7241      0.00000
      53.0000  1.65883e-37
      53.2788      0.00000
      53.5291  5.77641e-35
      53.8135      0.00000
      54.0688      0.00000
      54.3266      0.00000
      54.6195  1.36272e-36
      54.8826  6.11236e-34
      55.1482  1.66431e-36
      55.4501      0.00000
      55.7213      0.00000
      55.9951  9.71601e-36
      56.2716      0.00000
      56.5509  8.38332e-36
      56.8329      0.00000
      57.1178      0.00000
      57.4055      0.00000
      57.6962      0.00000
      57.9898      0.00000
      58.2864      0.00000
      58.5861      0.00000
      58.8509      0.00000
      59.1564      0.00000
      59.4651      0.00000
      59.7379      0.00000
      60.0527      0.00000
      60.3709      0.00000
      60.6520  6.34788e-42
      60.9766  4.45585e-41
      61.2634      0.00000
      61.5530      0.00000
      61.8873  2.29075e-37
      62.1828      0.00000
      62.5240  3.86294e-36
      62.8256      0.00000
      63.1302      0.00000
      63.4377  3.37542e-34
      63.7482  1.05374e-33
      64.1069      0.00000
      64.4240      0.00000
      64.7443      0.00000
      65.0678      0.00000
      65.3945  4.61858e-33
      65.7246      0.00000
      66.0580  1.04726e-32
      66.3464      0.00000
      66.6862      0.00000
      67.0294      0.00000
      67.3762  3.49760e-36
      67.7266  1.57432e-34
      68.0299      0.00000
      68.3871  2.04250e-34
      68.7481      0.00000
      69.0606      0.00000
      69.4288      0.00000
      69.7475      0.00000
      70.1231      0.00000
      70.4482      0.00000
      70.8314      0.00000
      71.1631      0.00000
      71.5542      0.00000
      71.8927      0.00000
      72.2346      0.00000
      72.6374      0.00000
      72.9864      0.00000
      73.3387      0.00000
      73.6944  7.45330e-33
      74.1138  7.16243e-33
      74.4771      0.00000
      74.8440      0.00000
      75.2145  4.84819e-30
      75.5887      0.00000
      75.9667  3.21373e-29
      76.3484      0.00000
      76.7340      0.00000
      77.1235      0.00000
      77.5170  1.83118e-27
      77.9145  2.63103e-26
      78.2489      0.00000
      78.6540      0.00000
      79.0633      0.00000
      79.4769      0.00000
      79.8249  1.30651e-26
      80.2465  4.69254e-26
      80.6726      0.00000
      81.0311      0.00000
      81.4656      0.00000
      81.9048      0.00000
      82.2744      0.00000
      82.7223      0.00000
      83.0994  2.26082e-28
      83.5564      0.00000
      83.9411  3.65253e-28
      84.3293      0.00000
      84.8000      0.00000
      85.1963      0.00000
      85.6767      0.00000
      86.0812      0.00000
      86.4896      0.00000
      86.9018      0.00000
      87.4017      0.00000
      87.8227      0.00000
      88.2478      0.00000
      88.6770      0.00000
      89.1105      0.00000
      89.5481      0.00000
      89.9901      0.00000
      90.5263      0.00000
      90.9780      0.00000
      91.3885  6.80256e-30
      91.8489  6.42220e-30
      92.3139      0.00000
      92.7743      0.00000
      93.2392      0.00000
      93.7089  8.20909e-28
      94.1735  7.74952e-28
      94.6527      0.00000
      95.1268      0.00000
      95.5956      0.00000
      96.0793      0.00000
      96.5576  4.65651e-26
      97.0407      0.00000
      97.5286  3.22894e-25
      98.0215      0.00000
      98.5088      0.00000
      99.0009      0.00000
      99.4979      0.00000
      100.000  2.76752e-25
      100.496  5.03549e-24
      101.008      0.00000
      101.514      0.00000
      102.014      0.00000
      102.531      0.00000
      103.041      0.00000
      103.556      0.00000
      104.076      0.00000
      104.601  6.75089e-28
      105.120  2.62807e-27
      105.656      0.00000
      106.185      0.00000
      106.707      0.00000
      107.247      0.00000
      107.780      0.00000
      108.330  3.08463e-26
      108.874      0.00000
      109.410      0.00000
      109.964      0.00000
      110.510  1.96272e-36
      111.062  6.55784e-36
      111.620  1.39999e-35
      112.183  4.46440e-26
      112.752  5.98081e-35
      113.313  1.26581e-34
      113.879  2.60208e-34
      114.451  5.32353e-34
      115.028  1.08927e-33
      115.597  9.56797e-33
      116.172  4.50765e-33
      116.767  7.82129e-25
      117.353  1.83855e-32
      117.930  3.69230e-32
      118.528  7.38997e-32
      119.117  1.62650e-26
      119.711  1.61434e-22
      120.311  1.48157e-22
      120.918  1.14465e-30
      121.530  9.86577e-25
      122.133  4.41315e-30
      122.741  1.17229e-26
      123.356  1.67769e-29
      123.977  1.31675e-21
      124.604  1.24822e-21
      125.220  1.21343e-28
      125.859  3.19405e-25
      126.488  4.46232e-28
      127.123  8.51318e-28
      127.765  1.61853e-27
      128.394  3.06875e-27
      129.030  5.79885e-27
      129.691  1.46119e-21
      130.340  1.19578e-20
      130.996  1.78900e-24
      131.639  7.15570e-26
      132.308  5.03151e-25
      132.964  2.46654e-25
      133.626  4.55591e-25
      134.296  8.39246e-25
      134.972  1.54056e-24
      135.655  2.82034e-24
      136.324  8.41948e-24
      137.021  1.40326e-23
      137.704  1.69829e-23
      138.394  3.33251e-23
      139.091  5.55295e-23
      139.795  9.94172e-23
      140.484  1.78194e-22
      141.180  3.18242e-22
      141.905  5.66690e-22
      142.616  1.00812e-21
      143.333  1.78178e-21
      144.035  3.14538e-21
      144.767  5.53571e-21
      145.484  9.71438e-21
      146.207  1.69991e-20
      146.961  2.96513e-20
      147.699  5.15862e-20
      148.421  8.94857e-20
      149.174  1.54804e-19
      149.910  2.66965e-19
